DATA_LANCAMENTO_OBRA;TITULO_ORIGINAL;CPB_ROE;TIPO_OBRA;PAIS_OBRA;PUBLICO_TOTAL;RENDA_TOTAL;RAZAO_SOCIAL_DISTRIBUIDORA;REGISTRO_DISTRIBUIDORA;CNPJ_DISTRIBUIDORA
25/01/2024;SERVIDÃO;B1800561900000;DOCUMENTÁRIO;BRASIL;634;R$ 8.810,38;O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.;63;67.431.718/0001-03
25/01/2024;THE BEASTS;E2300550800000;FICÇÃO;ESPANHA;2023;R$ 29.435,24;PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP;12443;08.656.129/0001-64
25/01/2024;TODOS LOS NOMBRES DE DIOS;E2300549500000;FICÇÃO;ESPANHA;8253;R$ 164.899,02;PLAYARTE PICTURES ENTRETENIMENTOS LTDA.;443;00.943.231/0001-39
18/01/2024;CONCRETE UTOPIA;E2300566600000;FICÇÃO;CORÉIA DO SUL;27023;R$ 522.866,66;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
18/01/2024;MAL VIVER;E2300387400000;FICÇÃO;FRANÇA;568;R$ 9.701,13;ZETA FILMES LTDA;22936;02.469.679/0001-98
18/01/2024;MAY DECEMBER;E2300424900000;FICÇÃO;ESTADOS UNIDOS;14287;R$ 332.089,56;DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.;22724;17.095.184/0001-13
18/01/2024;NIGHT SWIM;E2300468000000;FICÇÃO;ESTADOS UNIDOS;203898;R$ 3.917.444,94;WARNER BROS. (SOUTH) INC.;265;33.015.827/0001-28
18/01/2024;O NATAL DO BRUNO ALEIXO;E2300437100000;FICÇÃO;PORTUGAL;128;R$ 2.504,94;RISI FILM BRASIL LTDA.;51664;37.914.915/0001-12
18/01/2024;POVO DA FLORESTA;B2300024000000;DOCUMENTÁRIO;BRASIL;104;R$ 900,00;OLÉ PRODUÇÕES LTDA;15892;09.019.897/0001-70
18/01/2024;ROBOT DREAMS;E2300551500000;FICÇÃO;ESPANHA;6198;R$ 100.070,50;TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA;173;03.599.148/0001-82
18/01/2024;TURMA DA MÔNICA JOVEM - REFLEXOS DO MEDO;B2400008800000;FICÇÃO;BRASIL;205121;R$ 3.710.040,38;WMIX DISTRIBUIDORA LTDA.;1935;03.918.609/0001-32
11/01/2024;CHAMA A BEBEL;B2300502400000;FICÇÃO;BRASIL;8041;R$ 149.305,83;SM DISTRIBUIDORA DE FILMES LTDA;11922;08.257.054/0001-49
11/01/2024;MEAN GIRLS;E2300534000000;FICÇÃO;ESTADOS UNIDOS;441339;R$ 8.583.624,58;PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA;169;27.654.722/0001-16
11/01/2024;PRAIA DA SAUDADE;B2100301200000;DOCUMENTÁRIO;BRASIL;732;R$ 10.457,31;MERCURIO PRODUCOES LTDA;1436;04.760.800/0001-61
11/01/2024;THE BEEKEEPER;E2300491300000;FICÇÃO;ESTADOS UNIDOS;55;R$ 700,00;CINE CAXAMBU LTDA;53644;50.552.809/0001-02
